"","date","Mkt.RF","SMB","HML","RF"
"10460",20050119,-0.9,-0.16,0.48,0.008
"10461",20050120,-0.75,-0.15,-0.01,0.008
"10462",20050121,-0.47,0.29,0.32,0.008
"10463",20050124,-0.5,-0.77,0.67,0.008
"10464",20050125,0.26,0.15,-0.36,0.008
"10465",20050126,0.63,0.9,-0.13,0.008
"10466",20050127,0.06,0.17,0.16,0.008
"10467",20050128,-0.29,-0.25,0.13,0.008
"10468",20050131,0.94,0.77,0.07,0.008
"10469",20050201,0.68,-0.06,0.12,0.008
"10470",20050202,0.38,0.21,0.3,0.008
"10471",20050203,-0.27,-0.14,0.41,0.008
"10472",20050204,1.07,0.12,-0.55,0.008
"10473",20050207,-0.14,0.1,-0.08,0.008
"10474",20050208,0.11,0.19,-0.04,0.008
"10475",20050209,-0.91,-1.1,0.78,0.008
"10476",20050210,0.44,-0.37,0.22,0.008
"10477",20050211,0.77,0.48,-0.39,0.008
"10478",20050214,0.1,0,0.15,0.008
"10479",20050215,0.27,-0.38,0.04,0.008
"10480",20050216,0.09,0.31,0.69,0.008
"10481",20050217,-0.72,-0.28,0.2,0.008
"10482",20050218,0.01,-0.15,0.1,0.008
"10483",20050222,-1.38,-0.27,-0.09,0.008
"10484",20050223,0.48,-0.14,0.3,0.008
"10485",20050224,0.75,0.17,-0.14,0.008
"10486",20050225,0.98,0.34,0.43,0.008
"10487",20050228,-0.59,0.24,0.11,0.008
"10488",20050301,0.53,0.15,-0.21,0.01
"10489",20050302,0.02,-0.17,0.11,0.01
"10490",20050303,0.04,0.05,0.59,0.01
"10491",20050304,0.95,-0.01,0.35,0.01
"10492",20050307,0.23,-0.35,-0.05,0.01
"10493",20050308,-0.45,-0.42,0.02,0.01
"10494",20050309,-0.96,0.14,-0.26,0.01
"10495",20050310,-0.04,-0.77,-0.35,0.01
"10496",20050311,-0.51,0.53,0.62,0.01
"10497",20050314,0.56,-0.22,0.17,0.01
"10498",20050315,-0.64,0.22,0.28,0.01
"10499",20050316,-0.78,0.2,0.18,0.01
"10500",20050317,0.23,0.02,0.63,0.01
"10501",20050318,-0.16,-0.38,0.12,0.01
"10502",20050321,-0.45,0.31,-0.14,0.01
"10503",20050322,-0.88,0.64,-0.07,0.01
"10504",20050323,-0.27,-0.82,-0.67,0.01
"10505",20050324,0.03,0.47,-0.06,0.01
"10506",20050328,0.08,-0.22,0,0.01
"10507",20050329,-0.82,-0.78,-0.02,0.01
"10508",20050330,1.3,0.12,-0.26,0.01
"10509",20050331,0.11,-0.04,0.74,0.01
"10510",20050401,-0.56,-0.07,0.71,0.01
"10511",20050404,0.2,0.03,0.15,0.01
"10512",20050405,0.36,-0.13,-0.31,0.01
"10513",20050406,0.25,-0.1,0.02,0.01
"10514",20050407,0.52,0.01,-0.23,0.01
"10515",20050408,-0.85,-0.42,-0.01,0.01
"10516",20050411,-0.09,-0.62,0.1,0.01
"10517",20050412,0.49,0.26,-0.19,0.01
"10518",20050413,-1.19,-0.32,-0.17,0.01
"10519",20050414,-1.12,-0.57,-0.17,0.01
"10520",20050415,-1.59,-0.07,-0.51,0.01
"10521",20050418,0.29,0.32,0.2,0.01
"10522",20050419,0.8,0.74,0.21,0.01
"10523",20050420,-1.27,-0.17,0,0.01
"10524",20050421,1.78,0.23,-0.43,0.01
"10525",20050422,-0.72,-0.81,0.5,0.01
"10526",20050425,0.88,0.05,0.06,0.01
"10527",20050426,-0.87,-0.46,-0.16,0.01
"10528",20050427,0.18,-0.49,-0.41,0.01
"10529",20050428,-1.17,-0.9,0.33,0.01
"10530",20050429,1,-0.37,-0.13,0.01
"10531",20050502,0.52,0.43,0.12,0.011
"10532",20050503,-0.11,0.05,-0.52,0.011
"10533",20050504,1.29,0.29,0.26,0.011
"10534",20050505,-0.14,0.24,-0.2,0.011
"10535",20050506,-0.02,0.31,0.15,0.011
"10536",20050509,0.63,0.29,-0.02,0.011
"10537",20050510,-0.99,-0.15,-0.02,0.011
"10538",20050511,0.31,-0.38,-0.24,0.011
"10539",20050512,-1.07,-0.14,-0.91,0.011
"10540",20050513,-0.52,-0.08,-0.69,0.011
"10541",20050516,0.96,0.47,-0.37,0.011
"10542",20050517,0.66,-0.23,0.33,0.011
"10543",20050518,1.13,0.94,-0.44,0.011
"10544",20050519,0.48,-0.16,0.11,0.011
"10545",20050520,-0.15,-0.03,0.15,0.011
"10546",20050523,0.45,0.18,0.01,0.011
"10547",20050524,0.03,0,0.05,0.011
"10548",20050525,-0.44,-0.57,0.34,0.011
"10549",20050526,0.68,0.65,-0.03,0.011
"10550",20050527,0.26,0.09,0.4,0.011
"10551",20050531,-0.44,0.44,0.37,0.011
"10552",20050601,0.89,0.15,0.01,0.01
"10553",20050602,0.21,0.08,-0.22,0.01
"10554",20050603,-0.59,-0.19,0.55,0.01
"10555",20050606,0.16,0.28,0.13,0.01
"10556",20050607,-0.01,0.16,0.02,0.01
"10557",20050608,-0.24,-0.35,0.28,0.01
"10558",20050609,0.56,0.23,0.05,0.01
"10559",20050610,-0.16,0.11,0.51,0.01
"10560",20050613,0.26,0.12,0.22,0.01
"10561",20050614,0.3,0.43,0.33,0.01
"10562",20050615,0.28,0.21,0.21,0.01
"10563",20050616,0.5,0.59,-0.25,0.01
"10564",20050617,0.39,-0.58,0.24,0.01
"10565",20050620,-0.09,-0.31,0.09,0.01
"10566",20050621,-0.2,0.15,-0.24,0.01
"10567",20050622,0.09,0.25,-0.02,0.01
"10568",20050623,-1,-0.42,0.24,0.01
"10569",20050624,-0.67,0.01,0.09,0.01
"10570",20050627,-0.05,-0.13,0.62,0.01
